run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,base.empty,350,2.88,121.2,0.339,0.189,0.714,0.943,0.551,0.297,1.120,1.295,0.752,2.466,0.0,0.866,8.33,2.00,480,640,1.229,241.70,"harness floor: no shader, time driver running"
0,base.perlin,349,2.85,122.3,0.379,0.340,0.745,0.916,0.591,0.493,1.105,1.281,1.080,2.528,0.0,0.867,8.33,2.00,480,640,1.229,401.20,"cheap-shader reference (production PerlinGradient fill)"
0,base.passthru.480,352,2.86,122.6,0.394,0.235,0.840,1.084,1.035,0.695,1.950,2.276,1.273,3.757,0.0,0.766,8.33,2.00,480,640,1.229,565.59,"AnimatedSampler child-capture tax: 1:1 passthrough wrap"
0,base.passthru.full,353,2.91,120.9,0.329,0.182,0.868,1.047,1.410,1.058,2.751,3.169,1.532,4.747,0.3,0.670,8.33,2.00,800,1042,3.334,317.30,"child-capture tax at full window size"
0,base.iwrap.tiny,350,2.86,121.9,0.576,0.559,1.002,1.846,0.775,0.923,1.237,1.644,1.937,3.614,0.0,0.852,8.33,2.00,16,16,0.001,901367.19,"UI-thread uniform cost (~93 setFloats): read build, not raster"
0,survey.grit,352,2.87,122.3,0.434,0.450,0.694,0.873,0.713,0.786,1.073,1.303,1.540,2.530,0.0,0.871,8.33,2.00,480,640,1.229,639.65,"defaults; fill"
0,survey.grit_radial,352,2.87,122.1,0.336,0.215,0.722,0.948,0.533,0.317,1.103,1.346,0.812,2.664,0.0,0.868,8.33,2.00,480,640,1.229,257.98,"defaults; fill"
0,survey.perlin,351,2.87,121.9,0.472,0.462,0.802,2.123,0.742,0.797,1.185,2.395,1.601,5.538,0.0,0.858,8.33,2.00,480,640,1.229,648.60,"defaults; fill"
0,survey.perlin_radial,356,2.90,122.2,0.655,0.572,0.927,2.080,1.059,0.933,1.361,3.077,1.878,6.071,0.0,0.837,8.33,2.00,480,640,1.229,759.28,"defaults; fill"
0,survey.simplex,350,2.90,120.2,0.752,0.568,1.166,3.533,1.058,0.926,1.427,3.133,1.929,14.189,1.1,0.829,8.33,2.00,480,640,1.229,753.58,"defaults; fill"
0,survey.simplex_radial,349,3.15,110.6,0.756,0.589,1.326,2.939,1.933,1.006,1.736,5.025,2.042,25.732,1.7,0.792,8.33,2.00,480,640,1.229,818.68,"defaults; fill"
0,survey.fbm,351,2.92,120.0,0.704,0.519,1.160,3.217,1.031,0.892,1.567,4.791,1.791,14.465,1.4,0.812,8.33,2.00,480,640,1.229,725.91,"defaults; fill"
0,survey.fbm_radial,353,2.90,121.2,0.511,0.445,0.762,1.518,0.803,0.706,1.099,2.321,1.457,4.474,0.0,0.868,8.33,2.00,480,640,1.229,574.54,"defaults; fill"
0,survey.turbulence,352,2.89,121.6,0.715,0.548,1.127,2.937,1.010,0.903,1.369,2.850,1.796,6.923,0.0,0.836,8.33,2.00,480,640,1.229,734.86,"defaults; fill"
0,survey.turbulence_radial,358,2.91,122.8,0.679,0.555,1.004,2.226,1.038,0.937,1.361,3.483,1.885,6.568,0.0,0.837,8.33,2.00,480,640,1.229,762.53,"defaults; fill"
0,survey.voronoi,357,2.89,123.3,0.706,0.558,1.068,2.955,1.022,0.945,1.377,2.380,1.887,6.615,0.0,0.835,8.33,2.00,480,640,1.229,769.04,"defaults; fill"
0,survey.voronoi_radial,348,2.90,119.8,0.810,0.577,1.043,5.882,1.122,0.937,1.595,4.045,1.886,12.703,1.1,0.809,8.33,2.00,480,640,1.229,762.53,"defaults; fill"
0,survey.voronoise,357,2.92,121.7,0.730,0.587,1.001,2.365,1.098,0.935,1.454,3.117,1.944,8.137,0.6,0.826,8.33,2.00,480,640,1.229,760.90,"defaults; fill"
0,survey.voronoise_radial,350,2.92,119.6,1.021,0.756,1.705,5.718,1.217,1.043,1.692,3.897,2.338,18.179,1.4,0.797,8.33,2.00,480,640,1.229,848.80,"defaults; fill"
0,survey.smarble,350,2.90,120.5,0.655,0.538,0.997,2.554,1.035,0.887,1.196,3.938,1.773,7.773,0.3,0.856,8.33,2.00,480,640,1.229,721.84,"defaults; fill [inactive-interaction]"
