run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,bench.iliq.noise_const,349,2.88,120.9,0.360,0.231,0.746,0.948,0.569,0.357,1.094,1.346,0.842,2.716,0.0,0.869,8.33,2.00,480,640,1.229,290.53,"fbm()->0: total noise floor"
0,bench.iliq.fbm2oct,350,2.87,121.6,0.399,0.379,0.675,1.032,0.610,0.578,1.048,1.284,1.234,2.534,0.0,0.874,8.33,2.00,480,640,1.229,470.38,"fbm 4->2 octaves"
0,bench.iliq.warp1,354,2.90,121.7,0.415,0.408,0.713,0.952,0.640,0.667,1.073,1.350,1.345,2.616,0.0,0.871,8.33,2.00,480,640,1.229,542.81,"1 warpMap instead of 3"
0,bench.iliq.base,351,2.89,121.1,0.370,0.356,0.638,0.971,0.569,0.551,0.963,1.175,1.183,2.549,0.3,0.884,8.33,2.00,480,640,1.229,448.40,"parity anchor (byte-copy of production)"
0,bench.fur.noise_const,342,2.80,122.0,0.466,0.410,0.886,1.311,1.129,1.062,1.828,2.133,1.832,3.550,0.0,0.781,8.33,2.00,480,640,1.229,864.26,"proceduralNoise()->0.5"
0,bench.fur.lightstub,354,2.91,121.4,0.430,0.376,0.824,1.130,1.074,1.008,1.733,1.961,1.755,3.553,0.0,0.792,8.33,2.00,480,640,1.229,820.31,"4-light shading -> ambient only"
0,bench.fur.gradstub,357,2.91,122.2,0.464,0.444,0.790,1.183,1.183,1.257,1.751,2.045,2.118,3.534,0.0,0.790,8.33,2.00,480,640,1.229,1022.95,"fastGradient -> constant normal"
0,bench.fur.noedgelean,354,2.92,121.1,0.399,0.195,0.840,1.562,4.027,1.894,8.132,9.647,2.367,11.653,0.3,0.024,8.33,2.00,480,640,1.229,1541.34,"4 mask-gradient taps/step dropped"
0,bench.fur.steps16,342,2.81,121.2,0.871,0.702,1.332,3.890,1.959,1.764,2.492,5.550,3.132,10.774,0.6,0.701,8.33,2.00,480,640,1.229,1435.55,"RAY_STEPS 64->16, RAY_STEP x4 (span kept)"
0,bench.fur.steps32,342,2.84,120.2,0.848,0.697,1.207,3.426,1.962,1.767,2.445,6.971,3.081,14.517,1.2,0.707,8.33,2.00,480,640,1.229,1437.99,"RAY_STEPS 64->32, RAY_STEP x2 (span kept)"
0,bench.fur.base,346,2.81,122.7,0.765,0.612,1.147,3.433,1.749,1.651,2.384,4.383,2.843,10.151,0.3,0.714,8.33,2.00,480,640,1.229,1343.59,"parity anchor (byte-copy of production)"
0,bench.iwrap.noise_const,354,2.92,120.8,0.846,0.700,1.358,3.562,1.895,1.779,2.562,4.526,3.122,9.611,0.0,0.693,8.33,2.00,480,640,1.229,1447.75,"fbm()->0: total noise floor"
0,bench.iwrap.fbm2oct,356,2.93,121.0,0.798,0.670,1.276,3.112,1.778,1.707,2.253,3.920,2.921,6.872,0.3,0.730,8.33,2.00,480,640,1.229,1389.16,"fbm 4->2 octaves"
0,bench.iwrap.nobump,355,2.91,121.5,0.787,0.637,1.291,2.909,1.771,1.697,2.259,4.309,2.903,7.097,0.3,0.729,8.33,2.00,480,640,1.229,1381.02,"bump warpShape tap stubbed (4th warpShape)"
0,bench.iwrap.warp1,344,2.83,121.0,0.767,0.635,1.117,3.692,1.800,1.680,2.245,5.551,2.946,10.738,0.3,0.731,8.33,2.00,480,640,1.229,1367.19,"1 warpMap instead of 3 (no chromatic aberration)"
0,bench.iwrap.coarse4,358,2.93,121.9,0.739,0.612,1.087,2.842,1.671,1.653,2.155,3.219,2.882,6.724,0.3,0.741,8.33,2.00,480,640,1.229,1345.21,"NUM_COARSE 8->4 (search span kept)"
0,bench.iwrap.dirs8,345,2.83,121.8,0.740,0.605,0.976,3.782,1.653,1.637,2.065,3.042,2.773,6.971,0.3,0.752,8.33,2.00,480,640,1.229,1332.19,"NUM_DIRS 32->8"
0,bench.iwrap.dirs16,342,2.83,120.5,0.726,0.617,1.088,2.882,1.687,1.661,2.179,3.573,2.843,8.786,0.0,0.739,8.33,2.00,480,640,1.229,1351.73,"NUM_DIRS 32->16"
0,bench.iwrap.base,346,2.83,121.8,0.726,0.598,1.153,2.607,1.620,1.596,2.035,4.513,2.741,7.442,0.0,0.756,8.33,2.00,480,640,1.229,1298.83,"parity anchor (byte-copy of production)"
0,prod.fur.noise80,355,2.93,120.8,0.666,0.591,0.937,2.317,1.675,1.628,2.077,3.822,2.783,6.411,0.0,0.751,8.33,2.00,480,640,1.229,1324.87,"furNoiseScale=80: hash-grid frequency sensitivity"
